Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
484,2,5,705,21800002,484-21800002,21800002-173-5,Green STEAL (2 STL),Paul George,OKC,02:53,4,George Lost Ball Turnover (P5.T14),94 - 99,5,No,1,0.1201,173,No,0,0,0,,Paul George,,,0,0,,OKC,,,,,,,,,
485,1,2,707,21800002,485-21800002,21800002-158-2,MISS Thompson 26' 3PT Jump Shot,Klay Thompson,GSW,02:38,4,,94 - 99,5,No,1,0.1097,158,No,0,0,0,,Klay Thompson,3 PT Shot,,0,0,,GSW,26,,,,,,,,
486,0,4,708,21800002,486-21800002,21800002-153-4,Durant REBOUND (Off:1 Def:7),Kevin Durant,GSW,02:33,4,,94 - 99,5,No,1,0.1063,153,No,0,0,0,,Kevin Durant,,,0,0,,GSW,,,,,,,DISCUSS,,
487,86,2,709,21800002,487-21800002,21800002-152-2,MISS Durant 17' Turnaround Fadeaway Shot,Kevin Durant,GSW,02:32,4,,94 - 99,5,No,1,0.1056,152,No,0,0,0,,Kevin Durant,Fadeaway,,0,0,,GSW,17,,,,,,POINTS,,
488,0,4,710,21800002,488-21800002,21800002-151-4,,Steven Adams,OKC,02:31,4,Adams REBOUND (Off:4 Def:7),94 - 99,5,No,1,0.1049,151,No,0,0,0,,Steven Adams,,,0,0,,OKC,,,,,,,Free Throw,,
489,2,6,711,21800002,489-21800002,21800002-143-6,Curry S.FOUL (P4.PN) (Z.Zarba),Stephen Curry,GSW,02:23,4,,94 - 99,5,No,1,0.0993,143,No,0,0,0,,Stephen Curry,,,0,0,,GSW,,,,,,,Other Vars?,,
490,11,3,713,21800002,490-21800002,21800002-143-3,,Dennis Schroder,OKC,02:23,4,Schroder Free Throw 1 of 2 (20 PTS),95 - 99,4,No,1,0.0993,143,No,0,0,0,,Dennis Schroder,Free Throw,,-1,-1,,OKC,19,,,,,,Create Statistic for usefulness,,
491,12,3,714,21800002,491-21800002,21800002-143-3,,Dennis Schroder,OKC,02:23,4,Schroder Free Throw 2 of 2 (21 PTS),96 - 99,3,No,1,0.0993,143,No,0,0,0,,Dennis Schroder,Free Throw,,-1,-1,,OKC,19,,,,,,> Flush out,,
492,1,2,715,21800002,492-21800002,21800002-125-2,MISS Thompson 27' 3PT Jump Shot,Klay Thompson,GSW,02:05,4,,96 - 99,3,No,1,0.0868,125,No,0,0,0,,Klay Thompson,3 PT Shot,,0,0,,GSW,27,,,,,,,,
493,0,4,716,21800002,493-21800002,21800002-123-4,,Paul George,OKC,02:03,4,George REBOUND (Off:0 Def:2),96 - 99,3,No,1,0.0854,123,No,0,0,0,,Paul George,,,0,0,,OKC,,,,,,,,,
494,1,6,717,21800002,494-21800002,21800002-117-6,Durant P.FOUL (P4.PN) (B.Forte),Kevin Durant,GSW,01:57,4,,96 - 99,3,No,1,0.0813,117,No,0,0,0,,Kevin Durant,,,0,0,,GSW,,,,,,,,,
495,11,3,719,21800002,495-21800002,21800002-117-3,,Steven Adams,OKC,01:57,4,MISS Adams Free Throw 1 of 2,96 - 99,3,No,1,0.0813,117,No,0,0,0,,Steven Adams,Free Throw,,0,0,,OKC,19,,,,,,,,
496,1,4,720,21800002,496-21800002,21800002-117-4,,,,01:57,4,Thunder Rebound,96 - 99,3,No,1,0.0813,117,No,0,0,0,,,,,0,0,,,,,,,,,,,
