game_ID,win,home,timeouts_used,timeouts_available,fouls_committed,fouls_against,points_scored,points_allowed
21800002,1,1,0,4,10,5,25,21
21800002,0,0,3,4,5,10,21,25
21800003,0,1,2,3,4,8,29,20
21800003,1,0,3,4,8,4,20,29
21800004,1,1,3,4,5,3,20,24
21800004,0,0,2,3,3,5,24,20
21800010,1,1,1,4,6,8,31,25
21800010,0,0,4,4,8,6,25,31
21800011,0,1,2,3,7,5,30,30
21800011,1,0,1,4,5,7,30,30
21800012,0,1,3,3,12,5,26,33
21800012,1,0,1,4,5,12,33,26
21800015,1,1,4,4,6,5,23,28
21800015,0,0,4,4,5,6,28,23
21800018,1,1,3,4,7,8,33,29
21800018,0,0,3,3,8,7,29,33
21800021,1,1,2,4,4,7,27,28
21800021,0,0,3,3,7,4,28,27
21800024,0,1,2,3,5,4,20,27
21800024,1,0,4,4,4,5,27,20
21800027,0,1,2,3,10,9,31,27
21800027,1,0,3,4,9,10,27,31
21800028,0,1,3,3,8,7,31,26
21800028,1,0,3,4,7,8,26,31
21800029,1,1,1,3,7,8,27,29
21800029,0,0,3,4,8,7,29,27
21800030,0,1,2,3,8,12,30,21
21800030,1,0,3,3,12,8,21,30
21800031,0,1,2,4,2,8,32,33
21800031,1,0,2,4,8,2,33,32
21800032,1,1,3,4,4,11,43,37
21800032,0,0,4,4,11,4,37,43
21800035,0,1,2,3,8,7,18,26
21800035,1,0,2,4,7,8,26,18
21800038,1,1,3,3,6,8,20,28
21800038,0,0,3,4,8,6,28,20
21800039,1,1,3,4,4,1,22,28
21800039,0,0,3,4,1,4,28,22
21800040,0,1,3,4,6,6,20,18
21800040,1,0,2,4,6,6,18,20
21800050,1,1,1,4,7,4,25,25
21800050,0,0,3,4,4,7,25,25
21800052,1,1,3,3,5,11,31,17
21800052,0,0,2,2,11,5,17,31
21800056,1,1,2,4,6,7,24,28
21800056,0,0,4,4,7,6,28,24
21800061,1,1,2,4,3,9,26,21
21800061,0,0,3,3,9,3,21,26
21800065,0,1,2,2,13,6,22,27
21800065,1,0,3,4,6,13,27,22
21800066,1,1,2,3,3,7,34,25
21800066,0,0,4,4,7,3,25,34
21800072,1,1,4,4,5,10,29,24
21800072,0,0,4,4,10,5,24,29
21800073,1,1,3,4,4,8,37,27
21800073,0,0,4,4,8,4,27,37
21800078,1,1,3,4,6,6,22,18
21800078,0,0,3,3,6,6,18,22
21800082,1,1,2,4,6,6,23,18
21800082,0,0,4,4,6,6,18,23
21800083,0,1,2,2,6,4,37,27
21800083,1,0,2,4,4,6,27,37
21800087,0,1,3,4,7,6,24,32
21800087,1,0,1,4,6,7,32,24
21800093,1,1,1,2,3,6,31,26
21800093,0,0,4,4,6,3,26,31
21800095,1,1,2,3,4,8,32,35
21800095,0,0,4,4,8,4,35,32
21800099,1,1,3,4,2,10,27,34
21800099,0,0,3,3,10,2,34,27
21800105,0,1,3,3,5,2,20,30
21800105,1,0,4,4,2,5,30,20
21800107,1,1,3,3,13,7,27,29
21800107,0,0,4,4,7,13,29,27
21800111,0,1,2,2,9,4,30,38
21800111,1,0,1,3,4,9,38,30
21800115,1,1,3,4,8,5,24,35
21800115,0,0,3,3,5,8,35,24
21800118,0,1,3,4,13,5,25,28
21800118,1,0,1,3,5,13,28,25
21800120,0,1,3,3,5,1,25,20
21800120,1,0,2,4,1,5,20,25
21800122,0,1,1,4,7,8,22,27
21800122,1,0,2,3,8,7,27,22
21800127,1,1,3,4,6,4,30,29
21800127,0,0,4,4,4,6,29,30
21800128,1,1,2,3,3,6,21,25
21800128,0,0,3,4,6,3,25,21
21800129,0,1,2,3,6,10,25,21
21800129,1,0,1,4,10,6,21,25
21800132,0,1,3,4,5,10,37,26
21800132,1,0,2,3,10,5,26,37
21800136,1,1,2,3,4,6,25,19
21800136,0,0,3,4,6,4,19,25
21800137,0,1,1,4,6,8,36,26
21800137,1,0,2,4,8,6,26,36
21800141,0,1,3,3,7,6,19,29
21800141,1,0,2,4,6,7,29,19
21800142,1,1,3,4,4,6,32,21
21800142,0,0,3,4,6,4,21,32
21800144,1,1,1,2,9,7,22,30
21800144,0,0,4,4,7,9,30,22
21800145,1,1,2,3,3,7,27,26
21800145,0,0,2,4,7,3,26,27
21800153,0,1,2,4,8,4,22,24
21800153,1,0,1,3,4,8,24,22
21800154,0,1,2,4,4,5,16,25
21800154,1,0,1,3,5,4,25,16
21800155,0,1,2,3,10,9,34,25
21800155,1,0,3,4,9,10,25,34
21800156,1,1,1,3,4,5,20,24
21800156,0,0,1,4,5,4,24,20
21800158,1,1,3,3,3,6,19,17
21800158,0,0,3,4,6,3,17,19
21800162,1,1,3,4,3,8,28,22
21800162,0,0,3,4,8,3,22,28
21800167,1,1,1,4,5,6,28,34
21800167,0,0,2,4,6,5,34,28
21800170,0,1,4,4,4,4,22,26
21800170,1,0,4,4,4,4,26,22
21800171,0,1,4,4,9,12,34,30
21800171,1,0,3,4,12,9,30,34
21800172,1,1,1,4,7,7,30,35
21800172,0,0,3,4,7,7,35,30
21800178,1,1,0,3,6,5,20,21
21800178,0,0,3,4,5,6,21,20
21800180,1,1,2,3,1,10,24,18
21800180,0,0,2,4,10,1,18,24
21800187,0,1,3,4,6,4,26,22
21800187,1,0,3,4,4,6,22,26
21800188,1,1,1,4,6,2,17,24
21800188,0,0,3,4,2,6,24,17
21800189,1,1,2,4,5,7,23,31
21800189,0,0,3,3,7,5,31,23
21800190,1,1,2,3,4,11,34,26
21800190,0,0,3,4,11,4,26,34
21800193,0,1,2,2,10,7,23,25
21800193,1,0,2,4,7,10,25,23
21800197,1,1,1,4,6,3,27,23
21800197,0,0,2,3,3,6,23,27
21800201,1,1,2,4,7,6,28,27
21800201,0,0,1,2,6,7,27,28
21800202,1,1,3,4,6,10,35,19
21800202,0,0,4,4,10,6,19,35
21800206,0,1,3,4,4,8,16,29
21800206,1,0,3,3,8,4,29,16
21800207,0,1,3,3,7,8,33,32
21800207,1,0,4,4,8,7,32,33
21800208,1,1,2,4,6,9,22,19
21800208,0,0,3,4,9,6,19,22
